Gene	NumSamplesWMutation	_01-32942_A2	_02-0634	_03-28591_A1	_04-32876_A1	_05-25054_A1	_05-34912_A1	_05-35099_A1	_S05-10980_A1	_S05-1345_A1	_S06-33729_A1	_S06-35593_A1	_S07-10490_A1	_S07-27732_A1	_S07-3928_B1	_S07-8988_A3	_S08-7409_A1	_S09-19670_C1	_S09-39805_A1	_S1-34360_A3	_S3-29623_A1
RELN	14	3:: missense: 3; 	2:: missense: 2; 	1:: nonsense: 1; 	1:: missense: 1; 	.	.	2:: missense: 2; 	3:: missense: 3; 	.	.	2:: missense: 2; 	.	1:: nonsense: 1; 	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	5:: missense: 2; nonsense: 3; 	2:: missense: 1; nonsense: 1; 	.
PCLO	14	1:: missense: 1; 	1:: missense: 1; 	.	2:: missense: 2; 	3:: missense: 2; frameshift indel: 1; 	.	2:: missense: 2; 	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	2:: missense: 2; 	2:: missense: 2; 	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	2:: missense: 2; 
CSMD3	12	6:: missense: 5; nonsense: 1; 	1:: missense: 1; 	.	3:: missense: 3; 	2:: missense: 2; 	1:: nonsense: 1; 	.	8:: missense: 7; nonsense: 1; 	.	.	.	4:: missense: 4; 	.	.	1:: missense: 1; 	8:: missense: 6; nonsense: 1; splice-site: 1; 	1:: missense: 1; 	10:: missense: 10; 	.	2:: missense: 1; nonsense: 1; 
TP53	12	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.	.	1:: nonsense: 1; 	1:: missense: 1; 	2:: missense: 1; nonsense: 1; 	2:: missense: 2; 	.	.	2:: missense: 1; nonsense: 1; 
LRP1B	12	2:: missense: 2; 	5:: missense: 5; 	.	2:: missense: 2; 	1:: missense: 1; 	.	.	2:: missense: 2; 	1:: nonsense: 1; 	.	.	1:: missense: 1; 	.	2:: missense: 2; 	.	4:: missense: 4; 	1:: splice-site: 1; 	4:: missense: 4; 	.	1:: missense: 1; 
NAV3	10	1:: missense: 1; 	.	.	.	2:: missense: 2; 	1:: missense: 1; 	2:: missense: 2; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	1:: nonsense: 1; 	1:: missense: 1; 	.	.
PTPRD	10	1:: missense: 1; 	3:: missense: 3; 	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	.	3:: missense: 3; 	1:: missense: 1; 	.	.	.	3:: missense: 2; nonsense: 1; 	.	1:: missense: 1; 	2:: missense: 2; 	1:: missense: 1; 
TAF1L	9	1:: nonsense: 1; 	2:: missense: 2; 	.	1:: missense: 1; 	.	1:: missense: 1; 	2:: missense: 2; 	1:: nonsense: 1; 	.	.	.	.	.	.	.	1:: nonsense: 1; 	.	4:: missense: 4; 	2:: missense: 2; 	.
DST	9	.	.	.	.	.	2:: missense: 2; 	1:: nonsense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	1:: nonsense: 1; 	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 	2:: missense: 1; nonsense: 1; 	.
XIRP2	9	3:: missense: 3; 	2:: missense: 2; 	.	.	.	.	1:: missense: 1; 	4:: missense: 3; frameshift indel: 1; 	.	.	.	3:: missense: 2; frameshift indel: 1; 	1:: missense: 1; 	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	2:: missense: 2; 
ARID1A	9	1:: missense: 1; 	2:: missense: 1; nonsense: 1; 	.	.	.	.	.	1:: missense: 1; 	1:: frameshift indel: 1; 	.	.	1:: missense: 1; 	.	.	3:: missense: 2; nonsense: 1; 	.	.	1:: missense: 1; 	2:: missense: 2; 	1:: missense: 1; 
KMT2D	9	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	1:: nonsense: 1; 	.	1:: nonsense: 1; 	.	2:: missense: 2; 	4:: missense: 2; nonsense: 2; 	1:: missense: 1; 	.
PTCH1	9	1:: frameshift indel: 1; 	2:: missense: 1; nonsense: 1; 	.	.	.	1:: nonsense: 1; 	.	1:: frameshift indel: 1; 	.	1:: missense: 1; 	.	1:: frameshift indel: 1; 	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	2:: missense: 1; nonsense: 1; 	.
EPB41L3	9	3:: missense: 3; 	.	.	1:: missense: 1; 	.	.	.	3:: missense: 3; 	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 
KIAA1109	9	.	.	1:: missense: 1; 	.	2:: missense: 2; 	.	.	2:: frameshift indel: 2; 	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 
MAP3K4	8	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 
GRIN2A	8	3:: missense: 3; 	.	.	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	1:: splice-site: 1; 	1:: missense: 1; 	2:: missense: 2; 	.	2:: missense: 2; 	1:: missense: 1; 	.
MYCN	8	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.
NBEA	8	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.
GRM3	7	2:: missense: 2; 	.	.	.	.	.	.	2:: missense: 2; 	.	1:: nonsense: 1; 	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	1:: missense: 1; 	1:: missense: 1; 	.	.
SLIT2	7	2:: missense: 1; frameshift indel: 1; 	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.
ROS1	7	1:: missense: 1; 	.	1:: frameshift indel: 1; 	2:: missense: 2; 	.	1:: missense: 1; 	1:: missense: 1; 	2:: missense: 1; nonsense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	.	.
MAP1B	7	1:: missense: 1; 	2:: missense: 2; 	.	.	.	.	.	1:: missense: 1; 	.	.	1:: missense: 1; 	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.
HERC1	7	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	.	.	.	.	1:: missense: 1; 	1:: missense: 1; 	.	2:: missense: 2; 	.	.
BCLAF1	7	.	.	1:: frameshift indel: 1; 	.	.	.	.	.	.	.	.	1:: splice-site: 1; 	1:: missense: 1; 	1:: splice-site: 1; 	1:: splice-site: 1; 	2:: missense: 1; splice-site: 1; 	.	.	1:: missense: 1; 	.
SRRM2	7	1:: missense: 1; 	1:: missense: 1; 	.	1:: missense: 1; 	.	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 
UBR5	7	.	1:: missense: 1; 	.	1:: nonsense: 1; 	1:: missense: 1; 	1:: missense: 1; 	2:: missense: 2; 	.	.	1:: missense: 1; 	.	.	.	.	.	.	.	.	1:: missense: 1; 	.
CHD7	7	1:: missense: 1; 	.	2:: missense: 2; 	.	.	1:: missense: 1; 	.	1:: missense: 1; 	1:: missense: 1; 	.	.	.	.	.	1:: missense: 1; 	.	.	.	.	1:: missense: 1; 
