#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
9	NM_022114	chr1	+	2985741	3355185	2985823	3350375	17	2985741,3102688,3160650,3301715,3313054,3319354,3321302,3322058,3327947,3331123,3334391,3335230,3342144,3342614,3347435,3348529,3350240,	2985860,3103038,3160701,3301850,3313157,3319562,3321450,3322212,3329364,3331211,3334561,3335308,3342314,3342789,3347672,3348704,3355185,	0	PRDM16	cmpl	cmpl	0,1,0,0,0,1,2,0,1,2,0,2,2,1,2,2,0,
9	NM_015215	chr1	+	6845383	7829766	6845590	7826551	23	6845383,6880240,6885151,7151363,7309550,7527889,7700459,7721785,7723412,7730970,7737658,7792507,7796403,7796990,7797314,7798018,7804894,7805904,7807769,7811258,7812518,7815697,7826518,	6845635,6880310,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7811452,7812593,7815728,7829766,	0	CAMTA1	cmpl	cmpl	0,0,1,0,2,0,0,1,1,0,1,1,0,2,0,1,0,2,0,0,2,2,0,
9	NM_001349612	chr1	+	6845383	7829766	6845610	7826551	23	6845383,6885151,7151363,7309550,7527889,7700459,7721785,7723412,7730970,7737658,7792507,7796403,7796990,7797314,7798357,7804894,7805904,7807769,7809830,7811258,7812518,7815697,7826518,	6845635,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7809851,7811452,7812593,7815728,7829766,	0	CAMTA1	cmpl	cmpl	0,1,0,2,0,0,1,1,0,1,1,0,2,0,1,0,2,0,0,0,2,2,0,
9	NM_001349610	chr1	+	6845383	7829766	6845590	7826551	24	6845383,6880240,6885151,7151363,7309550,7527889,7700459,7721785,7723412,7730970,7737658,7792507,7796403,7796990,7797314,7798357,7804894,7805904,7807769,7809830,7811258,7812524,7815697,7826518,	6845635,6880310,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7809851,7811452,7812593,7815728,7829766,	0	CAMTA1	cmpl	cmpl	0,0,1,0,2,0,0,1,1,0,1,1,0,2,0,1,0,2,0,0,0,2,2,0,
9	NM_001349609	chr1	+	6845383	7829766	6845590	7826582	23	6845383,6880240,6885151,7151363,7309550,7527889,7700459,7721785,7723412,7730970,7737658,7792507,7796403,7796990,7797314,7798357,7804894,7805904,7807769,7809830,7811258,7812518,7826518,	6845635,6880310,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7809851,7811452,7812593,7829766,	0	CAMTA1	cmpl	cmpl	0,0,1,0,2,0,0,1,1,0,1,1,0,2,0,1,0,2,0,0,0,2,2,
9	NM_001349608	chr1	+	6845383	7829766	6845610	7826551	22	6845383,6885151,7151363,7309550,7527889,7700459,7721785,7723412,7730970,7737658,7792507,7796403,7796990,7797314,7798018,7804894,7805904,7807769,7811258,7812518,7815697,7826518,	6845635,6885270,7151431,7309686,7527961,7700613,7721926,7725259,7731097,7737793,7792659,7796600,7797069,7797630,7798542,7805082,7806151,7807841,7811452,7812593,7815728,7829766,	0	CAMTA1	cmpl	cmpl	0,1,0,2,0,0,1,1,0,1,1,0,2,0,1,0,2,0,0,2,2,0,
9	NM_199454	chr1	+	2985741	3355185	2985823	3350375	17	2985741,3102688,3160650,3301715,3313054,3319354,3321302,3322058,3327947,3331123,3334391,3335230,3342144,3342614,3347435,3348529,3350297,	2985860,3103038,3160701,3301850,3313157,3319562,3321450,3322212,3329364,3331211,3334561,3335308,3342314,3342789,3347672,3348704,3355185,	0	PRDM16	cmpl	cmpl	0,1,0,0,0,1,2,0,1,2,0,2,2,1,2,2,0,
13	NR_136703	chr1	-	35641978	35658746	35658746	35658746	12	35641978,35642919,35643589,35652601,35652803,35653573,35654603,35654774,35656098,35656294,35656941,35657822,	35642072,35643000,35643637,35652723,35652852,35653691,35654688,35654983,35656194,35656596,35657130,35658746,	0	SFPQ	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
13	NM_001321473	chr1	+	36690012	36770957	36748164	36769618	12	36690012,36724982,36748133,36751968,36754660,36756974,36758198,36759451,36762183,36766486,36767156,36769396,	36690106,36725085,36748301,36752871,36755365,36757147,36758310,36759536,36762371,36766685,36767297,36770957,	0	THRAP3	cmpl	cmpl	-1,-1,0,2,2,2,1,2,0,2,0,0,
13	NR_136702	chr1	-	35641978	35658746	35658746	35658746	12	35641978,35642919,35643589,35652601,35652803,35653573,35654603,35654786,35656098,35656294,35656941,35657822,	35642075,35643000,35643637,35652723,35652852,35653691,35654688,35654983,35656194,35656596,35657130,35658746,	0	SFPQ	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
